node,best_radius,best_q,size,members
1292,1,0.6973400588199813,14,"['689', '814', '1524', '36', '287', '584', '188', '471', '141', '1147', '1525', '1311', '305', '1259']"
1123,1,0.6973400588199813,13,"['1366', '814', '1376', '290', '306', '1297', '467', '1320', '1739', '1721', '1311', '103', '1259']"
172,1,0.6973400588199813,5,"['1476', '127', '1320', '103', '1433']"
872,1,0.6973400588199813,10,"['1107', '1185', '1732', '94', '1289', '1034', '1506', '885', '146', '224']"
1092,1,0.6973400588199813,11,"['1555', '95', '127', '1287', '1758', '868', '1297', '1660', '717', '467', '1647']"
100,1,0.6973400588199813,10,"['309', '208', '265', '1188', '414', '231', '939', '1421', '885', '1881']"
1353,1,0.6973400588199813,21,"['689', '743', '1631', '36', '1501', '1121', '1511', '905', '1593', '127', '287', '1525', '724', '305', '1787', '1014', '1297', '622', '1628', '1086', '615']"
371,1,0.6973400588199813,7,"['1763', '127', '471', '1147', '866', '682', '1647']"
1144,1,0.6973400588199813,28,"['689', '1366', '1631', '36', '1245', '62', '1533', '1660', '1739', '1367', '1147', '1320', '1721', '103', '287', '784', '1643', '1525', '1196', '1142', '305', '1787', '1376', '1700', '1014', '1867', '1297', '1259']"
10,1,0.6973400588199813,8,"['35', '1476', '1763', '36', '151', '1758', '505', '1311']"
8,1,0.6973400588199813,7,"['488', '814', '67', '148', '1808', '751', '1259']"
333,1,0.6973400588199813,11,"['1555', '689', '1524', '36', '1245', '188', '880', '1628', '216', '1224', '1850']"
1544,1,0.6973400588199813,5,"['67', '868', '1494', '315', '11']"
381,1,0.6973400588199813,10,"['102', '1476', '1699', '781', '870', '1297', '1147', '467', '1423', '1433']"
977,1,0.6973400588199813,5,"['1821', '127', '1758', '1279', '467']"
294,1,0.6973400588199813,5,"['1821', '127', '290', '1811', '1758']"
83,1,0.6973400588199813,7,"['1476', '1821', '127', '781', '1758', '471', '467']"
706,1,0.6973400588199813,12,"['972', '1295', '74', '781', '779', '784', '1742', '856', '879', '1888', '653', '1259']"
1525,1,0.6973400588199813,30,"['78', '689', '36', '1292', '1245', '1040', '1663', '726', '1422', '1850', '165', '1524', '290', '1800', '188', '404', '765', '1353', '103', '1505', '1600', '234', '287', '1144', '1275', '305', '1398', '1787', '1628', '1113']"
421,1,0.6973400588199813,8,"['814', '1185', '557', '686', '1147', '1825', '682', '1311']"
1035,1,0.6973400588199813,12,"['102', '309', '1305', '566', '212', '122', '1179', '1255', '106', '1086', '240', '1900']"
658,1,0.6973400588199813,6,"['1476', '1821', '781', '1660', '1147', '1320']"
1093,1,0.6973400588199813,12,"['502', '290', '2', '806', '1443', '1660', '1663', '1147', '1706', '1721', '1423', '318']"
382,1,0.6973400588199813,6,"['415', '761', '1279', '1221', '869', '1338']"
1381,1,0.6973400588199813,5,"['1625', '1121', '1308', '869', '1142']"
177,1,0.6973400588199813,6,"['1554', '1014', '886', '1086', '653', '1299']"
1074,1,0.6973400588199813,12,"['1476', '1376', '1821', '127', '290', '1049', '717', '467', '1320', '1311', '751', '1909']"
1314,1,0.6973400588199813,8,"['35', '857', '880', '774', '716', '467', '1706', '1259']"
983,1,0.6973400588199813,11,"['102', '814', '1821', '290', '459', '2', '261', '1147', '1386', '1311', '318']"
711,1,0.6973400588199813,5,"['67', '1014', '622', '595', '350']"
292,1,0.6973400588199813,5,"['1476', '1196', '460', '682', '1374']"
368,1,0.6973400588199813,13,"['976', '984', '67', '290', '1177', '868', '1297', '1660', '467', '1721', '1739', '1593', '604']"
