node,best_radius,best_q,size,members
322,1,0.5497152279482809,22,"['1476', '1699', '62', '1533', '1660', '1036', '1195', '290', '141', '496', '103', '33', '1424', '893', '1643', '988', '869', '1157', '1376', '1297', '1131', '1259']"
1471,1,0.5475357579892821,13,"['127', '1653', '1297', '982', '1147', '467', '1196', '1739', '1721', '682', '103', '1320', '318']"
1505,1,0.5455747037978345,13,"['78', '403', '1522', '494', '36', '1297', '1113', '1080', '1525', '216', '305', '1140', '1259']"
1525,1,0.5425821327994061,30,"['78', '689', '36', '1292', '1245', '1040', '1663', '726', '1422', '1850', '165', '1524', '290', '1800', '188', '404', '765', '1353', '103', '1505', '1600', '234', '287', '1144', '1275', '305', '1398', '1787', '1628', '1113']"
1409,1,0.5403185097756489,17,"['1839', '1036', '67', '352', '287', '1700', '905', '1354', '827', '1297', '1816', '307', '1706', '1337', '1810', '1755', '133']"
1164,1,0.5403185097756489,17,"['1476', '127', '290', '36', '1245', '1142', '1068', '1660', '1320', '1008', '1721', '1739', '103', '45', '305', '367', '1259']"
1353,1,0.5371217987005907,21,"['689', '743', '1631', '36', '1501', '1121', '1511', '905', '1593', '127', '287', '1525', '724', '305', '1787', '1014', '1297', '622', '1628', '1086', '615']"
1011,1,0.5371217987005907,21,"['1660', '467', '1423', '290', '1443', '141', '241', '1147', '1320', '1721', '103', '318', '45', '1837', '127', '1758', '988', '1650', '305', '174', '1259']"
1240,1,0.5272302438643021,18,"['70', '1664', '250', '309', '1263', '36', '1877', '1434', '151', '1136', '1845', '1443', '1351', '359', '1479', '636', '44', '350']"
622,1,0.5260902535735595,51,"['1410', '1631', '689', '1784', '781', '631', '1533', '113', '1400', '1040', '934', '1005', '1055', '168', '711', '404', '1367', '637', '1353', '595', '1270', '1799', '604', '1354', '1499', '1405', '1287', '1851', '524', '1568', '716', '683', '1552', '1311', '753', '1180', '609', '443', '823', '1312', '1014', '55', '1429', '880', '258', '707', '106', '155', '476', '1048', '1338']"
1128,1,0.5240142111899728,8,"['1476', '127', '290', '62', '868', '1660', '1320', '45']"
1518,1,0.5240142111899728,8,"['656', '1763', '290', '1177', '1297', '467', '1383', '1433']"
1243,1,0.5240142111899728,12,"['1347', '290', '557', '1297', '1820', '94', '496', '1506', '682', '146', '224', '1311']"
586,1,0.5240142111899728,8,"['972', '36', '287', '696', '305', '1297', '1643', '1142']"
1035,1,0.5240142111899728,12,"['102', '309', '1305', '566', '212', '122', '1179', '1255', '106', '1086', '240', '1900']"
